CustomerId,CustomerName,NumberOfOrders
1,Luís Gonçalves,7
2,Leonie Köhler,7
3,François Tremblay,7
4,Bjørn Hansen,7
5,František Wichterlová,7
6,Helena Holý,7
7,Astrid Gruber,7
8,Daan Peeters,7
9,Kara Nielsen,7
10,Eduardo Martins,7
11,Alexandre Rocha,7
12,Roberto Almeida,7
13,Fernanda Ramos,7
14,Mark Philips,7
15,Jennifer Peterson,7
16,Frank Harris,7
17,Jack Smith,7
18,Michelle Brooks,7
19,Tim Goyer,7
20,Dan Miller,7
21,Kathy Chase,7
22,Heather Leacock,7
23,John Gordon,7
24,Frank Ralston,7
25,Victor Stevens,7
26,Richard Cunningham,7
27,Patrick Gray,7
28,Julia Barnett,7
29,Robert Brown,7
30,Edward Francis,7
31,Martha Silk,7
32,Aaron Mitchell,7
33,Ellie Sullivan,7
34,João Fernandes,7
35,Madalena Sampaio,7
36,Hannah Schneider,7
37,Fynn Zimmermann,7
38,Niklas Schröder,7
39,Camille Bernard,7
40,Dominique Lefebvre,7
41,Marc Dubois,7
42,Wyatt Girard,7
43,Isabelle Mercier,7
44,Terhi Hämäläinen,7
45,Ladislav Kovács,7
46,Hugh O'Reilly,7
47,Lucas Mancini,7
48,Johannes Van der Berg,7
49,Stanisław Wójcik,7
50,Enrique Muñoz,7
51,Joakim Johansson,7
52,Emma Jones,7
53,Phil Hughes,7
54,Steve Murray,7
55,Mark Taylor,7
56,Diego Gutiérrez,7
57,Luis Rojas,7
58,Manoj Pareek,7
59,Puja Srivastava,6
